;;;;;;1: buona, copia perfetta dell'originale;;;;;
;;;;;;2: media, presenti imperfezioni;;;;;
;;;;;;3: scarsa: molte difformit…;;Cognome e Nome;;;
ID;N.;Settore;Classe;Animale: nome comune;Animale: nome scientifico;Grado di affidabilit… della rappresentazione;Area geografica di presenza della specie;Determinatore;Note;;Code
0;1;A;Aves;Gufo di palude;Asio flammeus;Buona;Europa, Asia, nord Africa, nord e centro America;Gagliardi;;;
1;2;A;Aves;Accipitride non determinabile;Accipiter sp.;;;;;;
2;3;A;Aves;Falconiforme non determinabile;;;;;;;
3;4;A;Aves;Struzzo;Strutio camelus;Buona;Africa;Gagliardi;;;
4;5;A;Mammalia;Antilocapra;Antilocapra americana;Media;Nordamerica;Martinoli;Macchie bianche del muso non corrette. Maschio giovane;;
5;1;C;Aves;Cigno minore;Cygnus columbianus bewicki;Buona;Europa, Asia;Gagliardi;sottospecie bewicki, presente solo in Europa e Asia;;
6;8;C;Aves;Anatide non determinabile;Anatidae;;;;caratteri di colorazione del piumaggio non riscontrabili in alcuna specie nota. Specie di anseriformi che presentano caratteri di colorazione bianca e nera a livello della testa: femmina di moretta codona (Clangula hyemalis), maschio di pesciaiola (Mergellus albellus), oca pigmea indiana (Nettapus coromandelianus);;
7;6;C;Aves;Uccello non determinabile;;;;;;;
8;4;C;Aves;Pernice bianca;Lagopus muta;Buona;Europa, Asia, nord America;Gagliardi;maschio in abito invernale;;
9;3;C;Aves;Pernice bianca;Lagopus muta;Buona;Europa, Asia, nord America;Gagliardi;abito primaverile;;
10;5;C;Mammalia;Coniglio;Lepus curpaeums;Buona;Europa, Asia;Gagliardi;abito primaverile;;
11;2;C;Aves;Cicogna;Ciconia ciconia;Buona;Europa, Asia, Africa;Gagliardi;individuo immaturo (punta del becco scura);;
12;3;D;Aves;Accipitride non determinabile;Accipitridae;;;;potrebbe trattarsi di un astore (Accipiter gentilis) ;;
13;7;D;Aves;Beccaccia;Scolopax rusticola;Buona;Europa, Asia, America;Gagliardi;;;
14;5;D;Aves;Verdone;Carduelis chloris;Scarsa;Europa, Asia, nord Africa (introdotto in Australia e sud America);Gagliardi;probabile Fringillide, dubbi sulla determinazione specifica;;
15;4;D;Aves;Merlo;Turdus merula;Scarsa;Europa, Asia, nord Africa;Gagliardi;maschio;;
16;6;D;Aves;Passeriforme Turdide non determinabile;;;;Gagliardi;alcuni caratteri riconducibili a cesena (Turdus pilaris), ma gola non scura;;
18;15;D;Mammalia;Vacca;Bos taurus;Buona;;Martinoli;"1 vacca bianca e due brune. Razza ""bruna alpina"". 1 cavallo bianco. ";;
19;13;D;Mammalia;Vacca;Bos taurus;Buona;;Martinoli;"1 vacca bianca e due brune. Razza ""bruna alpina"". 1 cavallo bianco. ";;
